,filenames,binids
976,tc0174§0009,1
977,tc0187§0039,3
978,tc0146§0012,1
979,tc0147§0021,2
980,tc0130§0009,0
981,tc0167§0011,1
982,tc0164§0035,3
983,tc0139§0015,1
984,tc0132§0023,2
985,tc0180§0045,4
986,tc0148§0030,3
987,tc0167§0009,0
988,tc0168§0020,2
989,tc0139§0021,2
990,tc0174§0001,0
991,tc0187§0035,3
992,tc0179§0013,1
993,tc0176§0032,3
994,tc0189§0013,1
995,tc0162§0044,4
996,tc0139§0024,2
997,tc0153§0004,0
998,tc0152§0037,4
999,tc0150§0037,4
1000,tc0189§0019,2
1001,tc0130§0020,2
1002,tc0160§0008,0
1003,tc0188§0026,2
1004,tc0154§0029,3
1005,tc0158§0011,1
1006,tc0136§0026,3
1007,tc0176§0024,2
1008,tc0154§0012,1
1009,tc0160§0025,2
1010,tc0180§0009,0
1011,tc0146§0038,4
1012,tc0146§0016,1
1013,tc0148§0001,0
1014,tc0191§0022,2
1015,tc0160§0023,2
1016,tc0160§0012,1
1017,tc0153§0020,2
1018,tc0178§0008,0
1019,tc0168§0022,2
1020,tc0131§0026,3
1021,tc0139§0014,1
1022,tc0139§0017,2
1023,tc0153§0028,3
1024,tc0143§0018,2
1025,tc0179§0043,4
1026,tc0158§0009,0
1027,tc0132§0037,4
1028,tc0164§0004,0
1029,tc0167§0024,2
1030,tc0167§0001,0
1031,tc0188§0032,3
1032,tc0188§0024,2
1033,tc0155§0007,0
1034,tc0143§0026,3
1035,tc0139§0001,0
1036,tc0162§0025,2
1037,tc0150§0022,2
1038,tc0178§0005,0
1039,tc0152§0040,4
1040,tc0188§0018,1
1041,tc0147§0004,0
1042,tc0167§0035,3
1043,tc0164§0032,3
1044,tc0189§0015,1
1045,tc0178§0037,4
1046,tc0150§0006,0
1047,tc0167§0038,4
1048,tc0188§0002,0
1049,tc0131§0008,0
1050,tc0168§0035,4
1051,tc0158§0021,2
1052,tc0155§0021,2
1053,tc0168§0003,0
1054,tc0162§0002,0
1055,tc0179§0021,2
1056,tc0179§0005,0
1057,tc0176§0043,4
1058,tc0158§0036,4
1059,tc0134§0008,0
1060,tc0189§0024,2
